Label,Replace by
chatbot,Assistencia Virtual e Educacao
conversational,Assistencia Virtual e Educacao
virtual assistant,Assistencia Virtual e Educacao
voice assistant,Assistencia Virtual e Educacao
avatar,Assistencia Virtual e Educacao
educational technology,Assistencia Virtual e Educacao
students,Assistencia Virtual e Educacao
learning,Assistencia Virtual e Educacao
acho,Assistencia Virtual e Educacao
tutoring,Assistencia Virtual e Educacao
knowledge graphs,Assistencia Virtual e Educacao
extension service,Assistencia Virtual e Educacao
advisory,Assistencia Virtual e Educacao
disease,Diagnostico e Protecao Fitossanitaria
pest,Diagnostico e Protecao Fitossanitaria
pathogen,Diagnostico e Protecao Fitossanitaria
weed,Diagnostico e Protecao Fitossanitaria
herbicide,Diagnostico e Protecao Fitossanitaria
infestation,Diagnostico e Protecao Fitossanitaria
protection,Diagnostico e Protecao Fitossanitaria
glyphosate,Diagnostico e Protecao Fitossanitaria
atrazine,Diagnostico e Protecao Fitossanitaria
fungicide,Diagnostico e Protecao Fitossanitaria
insecticide,Diagnostico e Protecao Fitossanitaria
diabetes,Diagnostico e Protecao Fitossanitaria
retinopathy,Diagnostico e Protecao Fitossanitaria
telescreening,Diagnostico e Protecao Fitossanitaria
mineral intakes,Diagnostico e Protecao Fitossanitaria
computer vision,Visao Computacional e Fenotipagem
image sensing,Visao Computacional e Fenotipagem
spectral,Visao Computacional e Fenotipagem
hyperspectral,Visao Computacional e Fenotipagem
remote sensing,Visao Computacional e Fenotipagem
phenotyping,Visao Computacional e Fenotipagem
object detection,Visao Computacional e Fenotipagem
segmentation,Visao Computacional e Fenotipagem
zero-shot,Visao Computacional e Fenotipagem
video generation,Visao Computacional e Fenotipagem
diffusion model,Visao Computacional e Fenotipagem
prompt learning,Visao Computacional e Fenotipagem
robot,Robotica e Mecanizacao
uav,Robotica e Mecanizacao
drone,Robotica e Mecanizacao
autonomous,Robotica e Mecanizacao
machinery,Robotica e Mecanizacao
tractor,Robotica e Mecanizacao
harvester,Robotica e Mecanizacao
automation,Robotica e Mecanizacao
unmanned,Robotica e Mecanizacao
supply chain,Cadeia Produtiva e Qualidade
agribusiness,Cadeia Produtiva e Qualidade
agro-industry,Cadeia Produtiva e Qualidade
agritech,Cadeia Produtiva e Qualidade
traceability,Cadeia Produtiva e Qualidade
blockchain,Cadeia Produtiva e Qualidade
futures trading,Cadeia Produtiva e Qualidade
food security,Cadeia Produtiva e Qualidade
logistics,Cadeia Produtiva e Qualidade
cold chain,Cadeia Produtiva e Qualidade
quality assessment,Cadeia Produtiva e Qualidade
forecasting,Mercado Risco e Previsao
market,Mercado Risco e Previsao
economic,Mercado Risco e Previsao
financial,Mercado Risco e Previsao
risk,Mercado Risco e Previsao
price,Mercado Risco e Previsao
decision making,Mercado Risco e Previsao
business model,Mercado Risco e Previsao
investment,Mercado Risco e Previsao
commodity,Mercado Risco e Previsao
ethics,Governanca, Gestao e Impacto Social
ethical,Governanca, Gestao e Impacto Social
policy,Governanca, Gestao e Impacto Social
digital divide,Governanca, Gestao e Impacto Social
digital inclusion,Governanca, Gestao e Impacto Social
empower,Governanca, Gestao e Impacto Social
gender,Governanca, Gestao e Impacto Social
inequality,Governanca, Gestao e Impacto Social
technology acceptance,Governanca, Gestao e Impacto Social
tam,Governanca, Gestao e Impacto Social
utaut,Governanca, Gestao e Impacto Social
labor,Governanca, Gestao e Impacto Social
employment,Governanca, Gestao e Impacto Social
social innovation,Governanca, Gestao e Impacto Social
weather,Clima, Solo e Meio Ambiente
climate,Clima, Solo e Meio Ambiente
sustainable,Clima, Solo e Meio Ambiente
carbon,Clima, Solo e Meio Ambiente
pollution,Clima, Solo e Meio Ambiente
residue,Clima, Solo e Meio Ambiente
emissions,Clima, Solo e Meio Ambiente
ecological,Clima, Solo e Meio Ambiente
renewable,Clima, Solo e Meio Ambiente
solar dryer,Clima, Solo e Meio Ambiente
habitats,Clima, Solo e Meio Ambiente
irrigation,Recursos Hidricos
water,Recursos Hidricos
hydrological,Recursos Hidricos
moisture,Recursos Hidricos
groundwater,Recursos Hidricos
internet of things,IoT e Sensores
iot,IoT e Sensores
sensor,IoT e Sensores
wsn,IoT e Sensores
wireless sensor,IoT e Sensores
cybersecurity,IoT e Sensores
edge computing,IoT e Sensores
precision agriculture,Agricultura de Precisao e Cultivo
smart farm,Agricultura de Precisao e Cultivo
yield,Agricultura de Precisao e Cultivo
fertilizer,Agricultura de Precisao e Cultivo
seeding,Agricultura de Precisao e Cultivo
tilling,Agricultura de Precisao e Cultivo
crop monitoring,Agricultura de Precisao e Cultivo
orchard,Agricultura de Precisao e Cultivo
horticulture,Agricultura de Precisao e Cultivo
large language model,IA: Arquiteturas e Metodos
llm,IA: Arquiteturas e Metodos
generative ai,IA: Arquiteturas e Metodos
genai,IA: Arquiteturas e Metodos
gpt,IA: Arquiteturas e Metodos
neural network,IA: Arquiteturas e Metodos
deep learning,IA: Arquiteturas e Metodos
machine learning,IA: Arquiteturas e Metodos
algorithm,IA: Arquiteturas e Metodos
transformer,IA: Arquiteturas e Metodos
reinforcement,IA: Arquiteturas e Metodos
ontology,IA: Arquiteturas e Metodos
simulation,IA: Arquiteturas e Metodos
modeling,IA: Arquiteturas e Metodos
artificial intelligence,IA: Arquiteturas e Metodos
fuzzy,IA: Arquiteturas e Metodos
mamba model,IA: Arquiteturas e Metodos
mixture-of-experts,IA: Arquiteturas e Metodos
ux layer,IA: Arquiteturas e Metodos
retrieval-augmented,IA: Arquiteturas e Metodos
agentic,IA: Arquiteturas e Metodos
planning,IA: Arquiteturas e Metodos
